fips_10,date,count
BP,20140706,6
BP,20140707,23
BP,20140708,6
BP,20140709,5
BP,20140710,36
BP,20140711,11
BP,20140712,3
BP,20140713,17
BP,20140714,46
BP,20140715,23
BP,20140716,18
BP,20140717,2
BP,20140718,3
BP,20140719,1
BP,20140720,1
BP,20140721,6
BP,20140722,3
BP,20140723,2
BP,20140724,4
BP,20140725,6
BP,20140727,13
BP,20140728,11
BP,20140729,27
BP,20140730,59
BP,20140731,33
BR,20140701,184
BR,20140702,199
BR,20140703,251
BR,20140704,211
BR,20140705,83
BR,20140706,244
BR,20140707,558
BR,20140708,390
BR,20140709,278
BR,20140710,328
BR,20140711,485
BR,20140712,234
BR,20140713,608
BR,20140714,770
BR,20140715,724
BR,20140716,764
BR,20140717,849
BR,20140718,552
BR,20140719,213
BR,20140720,269
BR,20140721,456
BR,20140722,381
BR,20140723,467
BR,20140724,541
BR,20140725,440
BR,20140726,197
BR,20140727,156
BR,20140728,479
BR,20140729,426
BR,20140730,542
BR,20140731,471
BT,20140701,42
BT,20140702,66
BT,20140703,23
BT,20140704,20
BT,20140705,37
BT,20140706,4
BT,20140707,76
BT,20140708,41
BT,20140709,28
BT,20140710,54
BT,20140711,57
BT,20140712,32
BT,20140713,39
BT,20140714,46
BT,20140715,38
BT,20140716,41
BT,20140717,45
BT,20140718,45
BT,20140719,45
BT,20140720,48
BT,20140721,43
BT,20140722,73
BT,20140723,68
BT,20140724,69
BT,20140725,70
BT,20140726,52
BT,20140727,16
BT,20140728,45
BT,20140729,33
BT,20140730,77
BT,20140731,30
BU,20140701,334
BU,20140702,247
BU,20140703,306
BU,20140704,299
BU,20140705,115
BU,20140706,168
BU,20140707,475
BU,20140708,326
BU,20140709,179
BU,20140710,189
BU,20140711,268
BU,20140712,182
BU,20140713,169
BU,20140714,306
BU,20140715,225
BU,20140716,308
BU,20140717,263
BU,20140718,344
BU,20140719,163
BU,20140720,118
BU,20140721,219
BU,20140722,310
BU,20140723,356
BU,20140724,311
BU,20140725,233
BU,20140726,87
BU,20140727,93
BU,20140728,168
BU,20140729,192
BU,20140730,252
BU,20140731,291
BX,20140701,42
BX,20140702,49
BX,20140703,49
BX,20140704,138
BX,20140705,48
BX,20140706,26
BX,20140707,41
BX,20140708,53
BX,20140709,85
BX,20140710,112
BX,20140711,94
BX,20140712,45
BX,20140713,36
BX,20140714,103
BX,20140715,90
BX,20140716,99
BX,20140717,116
BX,20140718,83
BX,20140719,45
BX,20140720,51
BX,20140721,83
BX,20140722,89
BX,20140723,35
BX,20140724,44
BX,20140725,94
BX,20140726,20
BX,20140727,27
BX,20140728,28
BX,20140729,47
BX,20140730,49
BX,20140731,24
BY,20140701,22
BY,20140702,61
BY,20140703,49
BY,20140704,38
BY,20140705,5
BY,20140706,7
BY,20140707,14
BY,20140708,4
BY,20140709,19
BY,20140710,18
BY,20140711,17
BY,20140712,18
BY,20140713,58
BY,20140714,30
BY,20140715,46
BY,20140716,18
BY,20140717,28
BY,20140718,16
BY,20140719,17
BY,20140720,30
BY,20140721,13
BY,20140722,25
BY,20140723,16
BY,20140724,10
BY,20140725,21
BY,20140726,3
BY,20140727,9
BY,20140728,12
BY,20140729,15
BY,20140730,13
BY,20140731,51
CA,20140701,1724
CA,20140702,2629
CA,20140703,2147
CA,20140704,2605
CA,20140705,1235
CA,20140706,1063
CA,20140707,2555
CA,20140708,2676
CA,20140709,2837
CA,20140710,2534
CA,20140711,21551
CA,20140712,1450
CA,20140713,1293
CA,20140714,2720
CA,20140715,2699
CA,20140716,2727
CA,20140717,3161
CA,20140718,3181
CA,20140719,1556
CA,20140720,1134
CA,20140721,2600
CA,20140722,2701
CA,20140723,3032
CA,20140724,3197
CA,20140725,3211
CA,20140726,1842
CA,20140727,1353
CA,20140728,2645
CA,20140729,3053
CA,20140730,2803
CA,20140731,2966
CB,20140701,383
CB,20140702,323
CB,20140703,273
CB,20140704,177
CB,20140705,73
CB,20140706,147
CB,20140707,277
CB,20140708,234
CB,20140709,197
CB,20140710,217
CB,20140711,451
CB,20140712,120
CB,20140713,158
CB,20140714,200
CB,20140715,371
CB,20140716,440
CB,20140717,352
CB,20140718,477
CB,20140719,212
CB,20140720,237
CB,20140721,267
CB,20140722,535
CB,20140723,324
CB,20140724,264
CB,20140725,312
CB,20140726,40
CB,20140727,140
CB,20140728,351
CB,20140729,428
CB,20140730,395
CB,20140731,190
CD,20140701,69
CD,20140702,82
CD,20140703,30
CD,20140704,32
CD,20140705,25
CD,20140706,30
CD,20140707,101
CD,20140708,59
CD,20140709,100
CD,20140710,122
CD,20140711,144
CD,20140712,33
CD,20140713,37
CD,20140714,96
CD,20140715,68
CD,20140716,64
CD,20140717,62
CD,20140718,74
CD,20140719,110
CD,20140720,67
CD,20140721,97
CD,20140722,95
CD,20140723,111
CD,20140724,58
CD,20140725,101
CD,20140726,41
CD,20140727,40
CD,20140728,33
CD,20140729,72
CD,20140730,51
CD,20140731,29
CE,20140701,547
CE,20140702,641
CE,20140703,729
CE,20140704,500
CE,20140705,825
CE,20140706,702
CE,20140707,1269
CE,20140708,1272
CE,20140709,959
CE,20140710,640
CE,20140711,646
CE,20140712,722
CE,20140713,306
CE,20140714,503
CE,20140715,382
CE,20140716,423
CE,20140717,469
CE,20140718,620
CE,20140719,501
CE,20140720,326
CE,20140721,283
CE,20140722,357
CE,20140723,420
CE,20140724,333
CE,20140725,390
CE,20140726,435
CE,20140727,248
CE,20140728,427
CE,20140729,426
CE,20140730,356
CE,20140731,521
CF,20140701,64
CF,20140702,91
CF,20140703,125
CF,20140704,102
CF,20140705,81
CF,20140706,97
CF,20140707,138
CF,20140708,84
CF,20140709,37
CF,20140710,58
CF,20140711,129
CF,20140712,66
CF,20140713,47
CF,20140714,45
CF,20140715,54
CF,20140716,96
CF,20140717,102
CF,20140718,38
CF,20140719,22
CF,20140720,33
CF,20140721,169
CF,20140722,148
CF,20140723,157
CF,20140724,72
CF,20140725,83
CF,20140726,20
CF,20140727,34
CF,20140728,63
CF,20140729,71
CF,20140730,58
CF,20140731,79
CG,20140701,33
CG,20140702,40
CG,20140703,34
CG,20140704,58
CG,20140705,52
CG,20140706,10
CG,20140707,89
CG,20140708,19
CG,20140709,11
CG,20140710,41
CG,20140711,48
CG,20140712,6
CG,20140713,48
CG,20140714,17
CG,20140715,35
CG,20140716,34
CG,20140717,48
CG,20140718,13
CG,20140719,6
CG,20140720,9
CG,20140721,17
CG,20140722,70
CG,20140723,58
CG,20140724,26
CG,20140725,34
CG,20140726,30
CG,20140727,15
CG,20140728,29
CG,20140729,21
CG,20140730,7
CG,20140731,44
CH,20140701,3420
CH,20140702,3950
CH,20140703,3920
CH,20140704,3042
CH,20140705,1729
CH,20140706,2346
CH,20140707,4204
CH,20140708,3490
CH,20140709,3862
CH,20140710,4325
CH,20140711,5240
CH,20140712,1756
CH,20140713,2010
CH,20140714,3311
CH,20140715,3675
CH,20140716,3603
CH,20140717,3511
CH,20140718,2913
CH,20140719,1616
CH,20140720,1597
CH,20140721,3260
CH,20140722,2998
CH,20140723,3385
CH,20140724,3163
CH,20140725,4284
CH,20140726,1486
CH,20140727,1714
CH,20140728,3319
CH,20140729,3942
CH,20140730,3807
CH,20140731,3573
CI,20140701,322
CI,20140702,272
CI,20140703,184
CI,20140704,136
CI,20140705,46
CI,20140706,93
